index,label
0,tile-glue_strip
1,grid-good
2,transistor-good
3,tile-good
4,tile-good
5,pill-good
6,capsule-good
7,hazelnut-cut
8,leather-poke
9,leather-good
10,bottle-good
11,wood-good
12,zipper-good
13,screw-good
14,tile-glue_strip
15,bottle-contamination
16,grid-good
17,carpet-color
18,carpet-color
19,pill-good
20,tile-good
21,zipper-good
22,bottle-good
23,screw-good
24,pill-good
25,screw-good
26,pill-good
27,screw-good
28,leather-color
29,wood-good
30,screw-good
31,cable-good
32,screw-good
33,zipper-good
34,zipper-good
35,zipper-good
36,leather-poke
37,cable-good
38,leather-cut
39,metal_nut-flip
40,metal_nut-good
41,cable-good
42,screw-good
43,capsule-good
44,metal_nut-flip
45,tile-good
46,toothbrush-good
47,capsule-good
48,zipper-good
49,screw-good
50,cable-good
51,transistor-good
52,hazelnut-crack
53,hazelnut-print
54,zipper-good
55,metal_nut-scratch
56,carpet-cut
57,carpet-color
58,leather-fold
59,capsule-good
60,transistor-good
61,pill-good
62,capsule-good
63,zipper-good
64,capsule-good
65,leather-poke
66,transistor-good
67,capsule-good
68,pill-good
69,metal_nut-scratch
70,grid-good
71,wood-good
72,hazelnut-good
73,tile-good
74,leather-poke
75,zipper-good
76,cable-good
77,leather-color
78,cable-good
79,cable-good
80,pill-good
81,wood-good
82,screw-good
83,wood-good
84,transistor-good
85,bottle-good
86,zipper-good
87,carpet-color
88,leather-color
89,zipper-good
90,leather-poke
91,zipper-good
92,cable-good
93,metal_nut-good
94,screw-good
95,tile-oil
96,transistor-good
97,transistor-good
98,metal_nut-good
99,metal_nut-good
100,cable-good
101,carpet-color
102,pill-good
103,capsule-good
104,wood-good
105,bottle-good
106,zipper-good
107,pill-good
108,transistor-good
109,hazelnut-good
110,leather-color
111,screw-good
112,transistor-good
113,transistor-good
114,zipper-good
115,capsule-good
116,grid-good
117,pill-good
118,capsule-good
119,leather-poke
120,screw-good
121,carpet-color
122,metal_nut-scratch
123,transistor-good
124,wood-good
125,transistor-good
126,tile-good
127,transistor-good
128,pill-good
129,screw-good
130,grid-good
131,metal_nut-scratch
132,pill-good
133,metal_nut-bent
134,capsule-good
135,grid-good
136,screw-good
137,bottle-contamination
138,pill-good
139,wood-good
140,transistor-good
141,hazelnut-good
142,cable-good
143,cable-good
144,zipper-good
145,hazelnut-print
146,carpet-color
147,zipper-good
148,zipper-good
149,wood-good
150,zipper-good
151,wood-good
152,transistor-good
153,pill-good
154,zipper-good
155,tile-good
156,toothbrush-good
157,tile-good
158,hazelnut-good
159,metal_nut-good
160,screw-good
161,screw-good
162,screw-good
163,cable-good
164,carpet-color
165,leather-fold
166,pill-good
167,wood-good
168,zipper-good
169,cable-good
170,carpet-color
171,carpet-color
172,screw-good
173,leather-cut
174,cable-good
175,pill-good
176,screw-good
177,zipper-good
178,capsule-good
179,zipper-good
180,leather-color
181,grid-glue
182,bottle-good
183,cable-good
184,pill-good
185,carpet-cut
186,tile-glue_strip
187,metal_nut-good
188,wood-good
189,wood-combined
190,pill-good
191,capsule-good
192,zipper-good
193,hazelnut-good
194,pill-good
195,screw-good
196,zipper-good
197,zipper-good
198,zipper-good
199,hazelnut-good
200,transistor-good
201,cable-good
202,screw-good
203,bottle-good
204,pill-good
205,leather-poke
206,pill-good
207,pill-good
208,hazelnut-good
209,grid-good
210,leather-poke
211,capsule-good
212,screw-good
213,wood-good
214,pill-good
215,carpet-cut
216,capsule-good
217,pill-good
218,transistor-good
219,bottle-good
220,tile-oil
221,grid-good
222,tile-good
223,bottle-good
224,capsule-good
225,metal_nut-good
226,pill-good
227,leather-poke
228,cable-good
229,transistor-good
230,pill-good
231,screw-good
232,zipper-good
233,pill-good
234,zipper-good
235,capsule-good
236,transistor-good
237,metal_nut-good
238,hazelnut-good
239,capsule-good
240,metal_nut-good
241,hazelnut-hole
242,zipper-good
243,screw-good
244,wood-good
245,leather-color
246,tile-good
247,tile-good
248,wood-good
249,cable-good
